,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,label,sums,counts
0,60,0,0,0,10,6,2,0,2,11,1,0,5,0,1,0,2,1,0,0,0,0,8,7,3,0,0,4,2,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,39,2,0,11,5,7,0,0,0,0,0,4,8,2,0,3,0,0,5,4,0,1,0,1,6,1,1,2,0,3,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,2,0,1,0,0,0,0,1,2,1,1,0,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,2,0,6,0,8,0,0,0,0,0,1,0,0,0,0,0,0,9,10,8,8,7,1,35,6,5,13,2,3,4,44,2,1,0,2,0,1,0,8,1,0,0,1,0,5,0,0,0,0,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,77,504,251
1,2185,0,0,0,11,17,0,0,2,10,0,0,3,0,3,0,1,1,1,0,1,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,1,0,0,1,0,0,5,0,1,0,0,0,2,1,0,0,2,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,9,0,0,0,0,0,0,0,28,3,0,10,9,6,0,0,0,0,0,5,10,0,0,1,3,0,3,3,0,1,0,3,2,0,1,2,4,1,4,0,1,0,1,0,0,0,0,0,0,4,1,3,2,0,0,2,1,1,0,1,0,1,0,1,2,2,3,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,7,10,9,6,7,31,7,4,10,4,1,4,28,4,3,0,1,0,0,1,3,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,482,120
2,1584,0,0,0,12,4,0,0,2,10,0,9,3,0,0,0,0,1,0,0,0,0,2,3,0,0,0,2,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,2,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,7,2,0,0,0,0,0,0,27,3,0,10,8,9,0,0,0,0,0,6,6,0,5,3,0,4,5,3,0,2,0,3,2,1,1,1,0,0,5,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,2,1,0,1,0,0,0,1,0,2,0,0,0,0,0,1,3,0,1,3,0,0,4,0,1,0,0,3,0,0,1,0,0,0,0,0,1,0,9,0,0,0,0,0,1,1,0,0,0,0,0,12,10,10,5,8,3,32,3,5,4,10,8,4,32,0,1,0,1,0,0,0,11,0,0,0,2,0,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,477,112
3,142,0,0,0,9,1,7,0,1,11,2,0,2,0,1,0,1,1,4,0,0,0,11,0,5,0,0,0,2,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,24,7,0,11,7,6,0,0,0,0,0,2,7,0,2,5,0,3,4,4,0,0,0,0,1,0,0,1,3,0,2,0,3,1,0,0,0,1,1,0,2,0,0,0,1,0,1,0,0,1,0,2,1,1,0,0,2,0,2,0,3,0,0,1,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,7,0,8,0,0,1,0,0,0,0,0,0,0,0,0,13,13,8,9,11,10,30,1,0,6,4,3,3,34,4,0,1,2,0,0,3,6,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,476,251
4,1811,0,0,0,9,6,0,0,0,14,4,0,2,0,1,0,0,0,0,0,1,0,3,6,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,1,3,1,0,2,2,0,0,1,0,1,0,0,0,2,1,11,0,0,0,10,1,0,0,0,1,0,0,30,2,0,12,5,5,0,0,0,0,0,2,8,0,0,4,1,0,3,0,0,0,0,1,2,0,0,1,5,2,1,0,1,0,1,2,0,1,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,7,0,1,2,1,1,3,0,0,2,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,10,8,11,12,6,28,3,0,6,4,4,3,36,5,2,0,1,0,1,0,2,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,475,131
5,189,0,0,0,8,1,12,0,1,12,0,0,3,0,1,0,0,0,1,0,0,0,2,0,4,0,0,3,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,4,0,0,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,33,1,0,11,12,6,0,0,0,0,0,1,9,0,3,6,1,6,2,1,0,2,0,0,3,1,1,1,3,2,1,0,0,1,0,1,0,1,1,0,4,2,1,0,2,0,2,0,0,1,0,1,1,2,1,0,0,0,2,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,8,7,3,31,4,4,6,5,2,5,19,1,2,0,3,1,1,3,11,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,473,251
6,102,0,0,0,10,0,9,0,2,12,1,0,2,0,0,0,0,0,8,0,0,0,10,0,5,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,0,0,0,0,0,3,0,4,1,0,0,0,0,0,0,3,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,0,0,0,22,4,0,8,7,6,0,0,0,0,0,2,9,0,0,6,1,0,4,4,0,0,0,1,3,0,0,1,3,0,4,0,5,3,0,2,0,0,0,0,1,0,0,0,5,0,1,1,0,4,0,0,0,0,1,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,1,0,0,0,0,0,0,15,4,8,8,11,7,36,2,2,1,3,3,3,27,5,2,3,1,0,0,1,7,0,0,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,472,251
7,1585,0,0,0,10,7,1,0,2,10,1,1,3,0,0,0,0,0,0,0,0,0,10,4,5,0,0,2,5,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,24,0,0,9,6,5,0,0,0,0,0,3,3,0,0,6,0,0,5,4,0,0,1,0,4,0,0,1,3,6,5,0,1,0,1,0,0,0,0,0,2,1,1,0,5,2,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,7,0,8,0,0,1,0,1,0,1,0,0,0,0,0,10,11,8,5,4,4,30,6,3,4,8,7,7,32,4,1,1,1,0,1,0,6,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,469,112
8,640,0,0,0,10,9,0,0,2,12,2,0,1,1,0,0,1,0,1,0,0,0,11,0,1,0,0,4,1,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,0,0,0,0,31,2,0,13,9,4,0,0,0,0,0,0,7,0,0,1,2,0,6,0,0,0,0,1,3,0,1,0,2,2,2,0,0,3,0,1,0,1,0,0,1,0,0,0,4,3,0,1,0,0,0,1,2,0,0,1,0,0,3,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,0,9,0,0,1,0,0,0,0,0,0,0,0,0,11,5,9,10,7,2,38,2,2,6,4,2,4,41,0,0,2,3,0,1,0,0,0,0,0,1,0,6,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,467,184
9,7412,0,0,0,8,6,0,0,0,15,1,0,6,0,2,0,0,0,1,0,1,0,12,0,3,0,0,2,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,0,0,1,0,0,2,0,4,2,0,0,0,2,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,22,6,0,4,7,6,0,0,0,0,0,2,10,0,0,4,2,0,5,2,0,1,1,2,2,0,1,0,2,0,3,0,0,0,0,0,0,3,1,0,1,1,0,0,1,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,6,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,14,4,8,8,17,1,35,3,3,8,2,3,2,27,3,1,2,1,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,464,162
